컬럼

| table_name               | pos | column_name             | data_type                | udt_name    | is_nullable | column_default                                  | char_len | num_prec | num_scale |
| invite_mismatch_reports  | 3   | invite_code             | text                     | text        | NO          | null                                            | null     | null     | null      |
| invite_mismatch_reports  | 4   | snapshot                | jsonb                    | jsonb       | NO          | null                                            | null     | null     | null      |
| invite_mismatch_reports  | 5   | message                 | text                     | text        | NO          | null                                            | null     | null     | null      |
| invite_mismatch_reports  | 7   | resolved_at             | timestamp with time zone | timestamptz | YES         | null                                            | null     | null     | null      |
| invite_mismatch_reports  | 8   | resolved_by             | uuid                     | uuid        | YES         | null                                            | null     | null     | null      |
| invite_mismatch_reports  | 9   | created_at              | timestamp with time zone | timestamptz | NO          | now()                                           | null     | null     | null      |
| member_profiles          | 1   | id                      | uuid                     | uuid        | NO          | gen_random_uuid()                               | null     | null     | null      |
| member_profiles          | 2   | owner_id                | uuid                     | uuid        | NO          | null                                            | null     | null     | null      |
| member_profiles          | 3   | name                    | text                     | text        | NO          | ''::text                                        | null     | null     | null      |
| member_profiles          | 4   | date_of_birth           | text                     | text        | NO          | ''::text                                        | null     | null     | null      |
| member_profiles          | 5   | age                     | text                     | text        | NO          | ''::text                                        | null     | null     | null      |
| member_profiles          | 6   | grade                   | text                     | text        | NO          | ''::text                                        | null     | null     | null      |
| member_profiles          | 7   | height                  | text                     | text        | NO          | ''::text                                        | null     | null     | null      |
| member_profiles          | 8   | rhythm                  | text                     | text        | NO          | ''::text                                        | null     | null     | null      |
| member_profiles          | 9   | stamina                 | text                     | text        | NO          | ''::text                                        | null     | null     | null      |
| member_profiles          | 10  | performance             | text                     | text        | NO          | ''::text                                        | null     | null     | null      |
| member_profiles          | 11  | personality             | text                     | text        | NO          | ''::text                                        | null     | null     | null      |
| member_profiles          | 12  | etc                     | text                     | text        | NO          | ''::text                                        | null     | null     | null      |
| member_profiles          | 13  | photo_url               | text                     | text        | YES         | null                                            | null     | null     | null      |
| member_profiles          | 14  | created_at              | timestamp with time zone | timestamptz | NO          | now()                                           | null     | null     | null      |
| member_profiles          | 15  | updated_at              | timestamp with time zone | timestamptz | NO          | now()                                           | null     | null     | null      |
| member_profiles          | 16  | theme_color             | text                     | text        | YES         | null                                            | null     | null     | null      |
| member_profiles          | 17  | tag_last                | text                     | text        | NO          | ''::text                                        | null     | null     | null      |
| member_profiles          | 18  | tag_first               | text                     | text        | NO          | ''::text                                        | null     | null     | null      |
| member_profiles          | 19  | sprite_url              | text                     | text        | YES         | null                                            | null     | null     | null      |
| member_profiles          | 20  | quote                   | text                     | text        | NO          | ''::text                                        | null     | null     | null      |
| minigame_plays           | 1   | id                      | uuid                     | uuid        | NO          | gen_random_uuid()                               | null     | null     | null      |
